 6.98863666E+01   3995.1 2.210E+03 1.551E+11 5.837E-03 5.181E-03 2.126E+05 0.000E+00 0.000E+00
 7.91475887E+01   4083.2 2.503E+03 1.895E+11 6.975E-03 5.887E-03 2.279E+05 0.000E+00 0.000E+00
 8.95258008E+01   4184.5 2.831E+03 2.315E+11 8.267E-03 6.638E-03 2.435E+05 0.000E+00 0.000E+00
 1.01277016E+02   4300.5 3.202E+03 2.820E+11 9.670E-03 7.395E-03 2.591E+05 0.000E+00 0.000E+00
 1.14788589E+02   4432.4 3.629E+03 3.418E+11 1.112E-02 8.120E-03 2.743E+05 0.000E+00 0.000E+00
 1.30596914E+02   4580.5 4.129E+03 4.131E+11 1.261E-02 8.855E-03 2.887E+05 0.000E+00 0.000E+00
 1.49139777E+02   4758.4 4.715E+03 5.095E+11 1.438E-02 9.682E-03 3.014E+05 0.000E+00 0.000E+00
 1.70418866E+02   4940.3 5.388E+03 6.592E+11 1.719E-02 1.129E-02 3.128E+05 0.000E+00 0.000E+00
 1.92746973E+02   5171.4 6.094E+03 9.922E+11 2.344E-02 1.509E-02 3.226E+05 3.902E-11 1.728E+02
 2.13269359E+02   5418.1 6.742E+03 1.697E+12 3.608E-02 2.291E-02 3.302E+05 1.355E-07 2.568E+03
 2.29957787E+02   5708.1 7.270E+03 3.302E+12 6.241E-02 3.957E-02 3.358E+05 1.215E-05 1.141E+04
 2.42388413E+02   6033.9 7.662E+03 6.818E+12 1.149E-01 7.305E-02 3.404E+05 4.850E-04 3.905E+04
 2.51117296E+02   6406.7 7.937E+03 1.463E+13 2.230E-01 1.412E-01 3.437E+05 3.890E-03 7.870E+04
 2.57061738E+02   6814.8 8.124E+03 3.094E+13 4.393E-01 2.680E-01 3.467E+05 1.836E-02 1.325E+05
 2.61083642E+02   7240.6 8.250E+03 6.193E+13 8.521E-01 4.427E-01 3.497E+05 1.624E-01 2.782E+05
 2.64045665E+02   7601.1 8.342E+03 1.048E+14 1.454E+00 5.531E-01 3.521E+05 4.150E-01 3.913E+05
 2.66469372E+02   7903.8 8.417E+03 1.569E+14 2.247E+00 5.805E-01 3.538E+05 6.056E-01 4.497E+05
 2.68689506E+02   8139.7 8.486E+03 2.101E+14 3.131E+00 5.576E-01 3.552E+05 7.244E-01 4.787E+05
 2.70854002E+02   8353.5 8.553E+03 2.694E+14 4.202E+00 5.529E-01 3.568E+05 7.971E-01 4.989E+05
 2.73042588E+02   8549.6 8.621E+03 3.342E+14 5.472E+00 5.310E-01 3.578E+05 8.457E-01 5.073E+05
 2.75313484E+02   8730.4 8.692E+03 4.035E+14 6.942E+00 5.174E-01 3.580E+05 8.864E-01 5.263E+05
 2.77706664E+02   8912.8 8.766E+03 4.831E+14 8.770E+00 4.993E-01 3.580E+05 9.088E-01 5.259E+05
 2.80262267E+02   9078.5 8.846E+03 5.644E+14 1.078E+01 5.149E-01 3.580E+05 9.251E-01 5.371E+05
PRADK 4.5504E-01
BEGIN                    ITERATION  30 COMPLETED
